platform,month_name,upgrade_count
LIOCINEMA,December-2024,1352
LIOCINEMA,November-2024,724
LIOCINEMA,September-2024,451
LIOCINEMA,October-2024,439
LIOCINEMA,August-2024,366
LIOCINEMA,July-2024,263
LIOCINEMA,June-2024,205
LIOCINEMA,May-2024,156
LIOCINEMA,April-2024,106
LIOCINEMA,March-2024,58
LIOCINEMA,February-2024,35
JOTSTAR,November-2024,494
JOTSTAR,May-2024,449
JOTSTAR,August-2024,439
JOTSTAR,June-2024,437
JOTSTAR,April-2024,437
JOTSTAR,July-2024,413
JOTSTAR,March-2024,386
JOTSTAR,October-2024,381
JOTSTAR,September-2024,373
JOTSTAR,December-2024,304
JOTSTAR,February-2024,235
